表号,IMEI号,累计流量,瞬时流量,反向流量,启动次数,温度,压力,电池电压,信号值,阀门状态,上报时间
70666000038000,860329065551923,117.4214,0.0,0.51,21180,22.48,0.0,3.626,-85,开,2025-09-05 23:32:59
70666000038000,860329065551923,117.4203,0.0,0.51,21179,22.53,0.0,3.631,-85,开,2025-09-05 23:27:10
70666000038000,860329065551923,117.4193,0.0,0.51,21178,22.84,0.0,3.623,-86,开,2025-09-05 23:22:49
70666000038000,860329065551923,117.4182,0.0,0.51,21177,23.63,0.0,3.628,-87,开,2025-09-05 22:48:47
70666000038000,860329065551923,117.4172,0.0,0.51,21176,22.72,0.0,3.623,-87,开,2025-09-05 21:43:51
70666000038000,860329065551923,117.4161,0.0133,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:44
70666000038000,860329065551923,117.415,0.0186,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:40
70666000038000,860329065551923,117.4139,0.019,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:38
70666000038000,860329065551923,117.4129,0.019,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:36
70666000038000,860329065551923,117.4118,0.0189,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:34
70666000038000,860329065551923,117.4107,0.019,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:32
70666000038000,860329065551923,117.4097,0.0191,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:30
70666000038000,860329065551923,117.4086,0.0193,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:28
70666000038000,860329065551923,117.4075,0.0193,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:26
70666000038000,860329065551923,117.4075,0.0193,0.51,21175,23.21,0.0,3.628,-88,开,2025-09-05 20:35:25
70666000038000,860329065551923,117.3984,0.0,0.51,21174,23.69,0.0,3.616,-89,开,2025-09-05 20:31:09
70666000038000,860329065551923,117.3974,0.0,0.51,21173,23.37,0.0,3.631,-88,开,2025-09-05 17:57:49
70666000038000,860329065551923,117.3965,0.0,0.51,21172,23.93,0.0,3.626,-88,开,2025-09-05 17:44:45
70666000038000,860329065551923,117.3953,0.0,0.51,21171,24.7,0.0,3.628,-89,开,2025-09-05 17:28:36
70666000038000,860329065551923,117.3945,0.0,0.51,21170,25.73,0.0,3.626,-90,开,2025-09-05 17:20:14
70666000038000,860329065551923,117.3941,0.0,0.51,21169,21.91,0.0,3.652,-88,开,2025-09-05 14:16:32
70666000038000,860329065551923,117.3927,0.0,0.51,21168,22.58,0.0,3.626,-87,开,2025-09-05 14:15:28
70666000038000,860329065551923,117.3908,0.0,0.51,21167,21.19,0.0,3.626,-87,开,2025-09-05 12:57:30
70666000038000,860329065551923,117.39,0.0,0.51,21166,21.19,0.0,3.625,-87,开,2025-09-05 12:51:20
70666000038000,860329065551923,117.3887,0.0,0.51,21165,21.16,0.0,3.626,-90,开,2025-09-05 12:42:19
70666000038000,860329065551923,117.3884,0.0,0.51,21164,21.36,0.0,3.626,-90,开,2025-09-05 12:35:24
70666000038000,860329065551923,117.385,0.0,0.51,21163,22.08,0.0,3.627,-89,开,2025-09-05 12:13:34
70666000038000,860329065551923,117.3842,0.0022,0.51,21162,22.09,0.0,3.626,-93,开,2025-09-05 11:21:03
70666000038000,860329065551923,117.3825,0.0,0.51,21161,20.18,0.0,3.628,-91,开,2025-09-05 09:19:14
70666000038000,860329065551923,117.3807,0.0033,0.51,21160,21.15,0.0,3.623,-88,开,2025-09-05 08:59:23
70666000038000,860329065551923,117.3797,0.0038,0.51,21160,21.15,0.0,3.623,-88,开,2025-09-05 08:59:13
70666000038000,860329065551923,117.379,0.0038,0.51,21160,21.15,0.0,3.623,-88,开,2025-09-05 08:59:06
70666000038000,860329065551923,117.3753,0.0031,0.51,21159,21.7,0.0,3.626,-88,开,2025-09-05 08:55:52
70666000038000,860329065551923,117.3742,0.0063,0.51,21159,21.68,0.0,3.626,-88,开,2025-09-05 08:55:46
70666000038000,860329065551923,117.373,0.0068,0.51,21159,21.68,0.0,3.626,-88,开,2025-09-05 08:55:40
70666000038000,860329065551923,117.3719,0.0068,0.51,21159,21.68,0.0,3.626,-88,开,2025-09-05 08:55:34
70666000038000,860329065551923,117.3708,0.0068,0.51,21159,21.68,0.0,3.626,-88,开,2025-09-05 08:55:28
70666000038000,860329065551923,117.3704,0.0068,0.51,21159,21.68,0.0,3.626,-88,开,2025-09-05 08:55:25
70666000038000,860329065551923,117.3663,0.0,0.51,21158,20.9,0.0,3.626,-88,开,2025-09-05 08:11:27
70666000038000,860329065551923,117.3648,0.0,0.51,21157,21.63,0.0,3.628,-89,开,2025-09-05 07:55:46
70666000038000,860329065551923,117.3635,0.004,0.51,21156,20.83,0.0,3.633,-89,开,2025-09-05 07:04:57
70666000038000,860329065551923,117.3628,0.0051,0.51,21156,20.83,0.0,3.633,-89,开,2025-09-05 07:04:50
70666000038000,860329065551923,117.3624,0.0064,0.51,21156,20.83,0.0,3.633,-89,开,2025-09-05 07:04:49
70666000038000,860329065551923,117.3586,0.0,0.51,21155,21.92,0.0,3.626,-87,开,2025-09-05 07:02:30
70666000038000,860329065551923,117.3566,0.0,0.51,21154,22.84,0.0,3.621,-89,开,2025-09-05 06:57:01
70666000038000,860329065551923,117.3546,0.0028,0.51,21153,22.89,0.0,3.627,-89,开,2025-09-05 03:37:10
70666000038000,860329065551923,117.3538,0.0027,0.51,21153,22.89,0.0,3.627,-89,开,2025-09-05 03:37:00
70666000038000,860329065551923,117.3486,0.0,0.51,21152,23.06,0.0,3.62,-89,开,2025-09-05 03:17:54
70666000038000,860329065551923,117.3472,0.0031,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:40
70666000038000,860329065551923,117.3456,0.0113,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:36
70666000038000,860329065551923,117.344,0.0143,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:32
70666000038000,860329065551923,117.3424,0.0144,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:28
70666000038000,860329065551923,117.3408,0.0143,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:24
70666000038000,860329065551923,117.3393,0.0143,0.51,21151,19.97,0.0,3.623,-88,开,2025-09-05 00:46:20
70666000038000,860329065551923,117.3296,0.0144,0.51,21150,19.97,0.0,3.627,-88,开,2025-09-05 00:45:55
70666000038000,860329065551923,117.328,0.0145,0.51,21150,19.97,0.0,3.627,-88,开,2025-09-05 00:45:51
70666000038000,860329065551923,117.3263,0.0147,0.51,21150,19.97,0.0,3.627,-88,开,2025-09-05 00:45:47
70666000038000,860329065551923,117.3247,0.0147,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:43
70666000038000,860329065551923,117.323,0.0146,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:39
70666000038000,860329065551923,117.3214,0.0148,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:35
70666000038000,860329065551923,117.3197,0.0149,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:31
70666000038000,860329065551923,117.3189,0.0148,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:28
70666000038000,860329065551923,117.3181,0.0146,0.51,21150,22.18,0.0,3.627,-88,开,2025-09-05 00:45:27
70666000038000,860329065551923,117.3067,0.0147,0.51,21149,22.18,0.0,3.626,-88,开,2025-09-05 00:45:00
70666000038000,860329065551923,117.305,0.015,0.51,21149,22.18,0.0,3.626,-88,开,2025-09-05 00:44:56
70666000038000,860329065551923,117.3032,0.0153,0.51,21149,22.18,0.0,3.626,-88,开,2025-09-05 00:44:52
70666000038000,860329065551923,117.3015,0.0156,0.51,21149,22.18,0.0,3.626,-88,开,2025-09-05 00:44:48
70666000038000,860329065551923,117.2997,0.0159,0.51,21149,22.51,0.0,3.626,-88,开,2025-09-05 00:44:44
70666000038000,860329065551923,117.298,0.0158,0.51,21149,22.51,0.0,3.626,-88,开,2025-09-05 00:44:40
70666000038000,860329065551923,117.2962,0.0156,0.51,21149,22.51,0.0,3.626,-88,开,2025-09-05 00:44:36
70666000038000,860329065551923,117.2962,0.0156,0.51,21149,22.51,0.0,3.626,-88,开,2025-09-05 00:44:35
70666000038000,860329065551923,117.2868,0.0,0.51,21148,23.24,0.0,3.625,-87,开,2025-09-05 00:26:29
70666000038000,860329065551923,117.2852,0.0088,0.51,21147,23.24,0.0,3.623,-88,开,2025-09-05 00:26:06
70666000038000,860329065551923,117.2836,0.0147,0.51,21147,23.24,0.0,3.623,-88,开,2025-09-05 00:26:02
70666000038000,860329065551923,117.282,0.0147,0.51,21147,23.24,0.0,3.623,-88,开,2025-09-05 00:25:58
70666000038000,860329065551923,117.2804,0.0147,0.51,21147,23.24,0.0,3.623,-88,开,2025-09-05 00:25:54
70666000038000,860329065551923,117.2787,0.0145,0.51,21147,23.24,0.0,3.623,-88,开,2025-09-05 00:25:50
70666000038000,860329065551923,117.2771,0.0144,0.51,21147,23.26,0.0,3.623,-88,开,2025-09-05 00:25:46
70666000038000,860329065551923,117.2756,0.0144,0.51,21147,23.26,0.0,3.623,-88,开,2025-09-05 00:25:42
70666000038000,860329065551923,117.2748,0.0144,0.51,21147,23.26,0.0,3.623,-88,开,2025-09-05 00:25:40
70666000038000,860329065551923,117.2664,0.0,0.51,21146,25.13,0.0,3.627,-88,开,2025-09-04 22:43:18
70666000038000,860329065551923,117.2652,0.0,0.51,21145,24.39,0.0,3.628,-90,开,2025-09-04 20:08:22
70666000038000,860329065551923,117.2628,0.0001,0.51,21144,23.6,0.0,3.628,-87,开,2025-09-04 19:34:32
70666000038000,860329065551923,117.2618,0.0001,0.51,21143,23.71,0.0,3.633,-87,开,2025-09-04 19:29:58
70666000038000,860329065551923,117.2608,0.0001,0.51,21142,23.78,0.0,3.628,-87,开,2025-09-04 19:25:19
70666000038000,860329065551923,117.2598,0.0001,0.51,21141,23.79,0.0,3.631,-88,开,2025-09-04 19:20:55
70666000038000,860329065551923,117.2588,0.0001,0.51,21140,23.75,0.0,3.626,-87,开,2025-09-04 19:16:28
70666000038000,860329065551923,117.2577,0.0001,0.51,21139,23.8,0.0,3.634,-87,开,2025-09-04 19:11:57
70666000038000,860329065551923,117.2568,0.0001,0.51,21138,24.15,0.0,3.63,-88,开,2025-09-04 19:07:15
70666000038000,860329065551923,117.2557,0.0,0.51,21137,20.44,0.0,3.628,-88,开,2025-09-04 18:28:26
70666000038000,860329065551923,117.2557,0.0109,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:37
70666000038000,860329065551923,117.2546,0.0161,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:35
70666000038000,860329065551923,117.2535,0.0195,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:33
70666000038000,860329065551923,117.2524,0.0196,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:31
70666000038000,860329065551923,117.2513,0.0197,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:29
70666000038000,860329065551923,117.2502,0.0197,0.51,21136,22.29,0.0,3.626,-88,开,2025-09-04 18:27:27
70666000038000,860329065551923,117.237,0.0196,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:27:02
70666000038000,860329065551923,117.2359,0.0197,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:27:00
70666000038000,860329065551923,117.2349,0.0198,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:58
70666000038000,860329065551923,117.2338,0.0197,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:56
70666000038000,860329065551923,117.2327,0.0196,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:54
70666000038000,860329065551923,117.2316,0.0196,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:52
70666000038000,860329065551923,117.2305,0.0196,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:50
70666000038000,860329065551923,117.2294,0.0196,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:48
70666000038000,860329065551923,117.2283,0.0197,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:46
70666000038000,860329065551923,117.2272,0.0198,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:44
70666000038000,860329065551923,117.2261,0.0198,0.51,21135,22.29,0.0,3.63,-88,开,2025-09-04 18:26:42
70666000038000,860329065551923,117.225,0.0198,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:40
70666000038000,860329065551923,117.2239,0.0197,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:38
70666000038000,860329065551923,117.2228,0.0197,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:36
70666000038000,860329065551923,117.2216,0.0198,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:34
70666000038000,860329065551923,117.2205,0.0199,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:32
70666000038000,860329065551923,117.2194,0.0201,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:30
70666000038000,860329065551923,117.2183,0.0202,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:28
70666000038000,860329065551923,117.2172,0.0202,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:26
70666000038000,860329065551923,117.2161,0.02,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:24
70666000038000,860329065551923,117.215,0.0197,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:22
70666000038000,860329065551923,117.2139,0.0195,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:20
70666000038000,860329065551923,117.2128,0.0196,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:18
70666000038000,860329065551923,117.2117,0.0197,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:16
70666000038000,860329065551923,117.2117,0.0197,0.51,21135,25.42,0.0,3.63,-88,开,2025-09-04 18:26:15
70666000038000,860329065551923,117.2019,0.0,0.51,21134,26.4,0.0,3.627,-91,开,2025-09-04 17:27:34
70666000038000,860329065551923,117.201,0.0,0.51,21133,27.71,0.0,3.632,-89,开,2025-09-04 16:52:54
70666000038000,860329065551923,117.1997,0.0,0.51,21132,24.6,0.0,3.625,-98,开,2025-09-04 14:28:32
70666000038000,860329065551923,117.1985,0.0001,0.51,21131,24.23,0.0,3.623,-90,开,2025-09-04 12:54:57
70666000038000,860329065551923,117.1975,0.0,0.51,21130,24.24,0.0,3.628,-89,开,2025-09-04 12:50:31
