device_no,电池电压,表号,冻结流量,imei号,瞬时流量,压力,反向流量,信号值,启动次数,温度,累计流量,上传时间,日期计算,时间计算,时间是否有效,数据L/s,Unnamed: 17,图表功能区,（数据区域更改后自动计算，但确定最快分钟流量需手动更改）,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
860329065551923,3.621,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-90,4602,21.84,24.225,2024-11-22 12:28:20,2024-11-22,12:28:20,无效时间,,,最快分钟流量,,,,,,,,2122.0,2024-09-11
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-87,4601,21.9,24.2244,2024-11-22 09:48:34,2024-11-22,09:48:34,无效时间,,,数据序号,时间,流量（L/s）,,,,,,1964.0,2024-09-12
860329065551923,3.625,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-93,4600,22.49,24.2214,2024-11-22 09:28:04,2024-11-22,09:28:04,无效时间,,,29,2024-11-21 20:09:29,0.25000000000016076,,,,,,135.0,2024-09-13
860329065551923,3.621,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-88,4599,22.65,24.215,2024-11-22 09:15:48,2024-11-22,09:15:48,无效时间,,,,,,,,,,,51.0,2024-09-14
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-86,4598,20.13,24.2142,2024-11-22 08:20:47,2024-11-22,08:20:47,有效,0.012987012987012844,,,,,,,,,,43.0,2024-09-15
860329065551923,3.617,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-88,4597,21.11,24.212,2024-11-22 08:19:30,2024-11-22,08:19:30,无效时间,,,,,,,,,,,98.0,2024-09-16
860329065551923,3.616,70666000038000,21.28,860329065551923,0.0,0.0,0.55,-87,4596,19.93,24.2104,2024-11-22 07:51:20,2024-11-22,07:51:20,无效时间,,,,,,,,,,,82.0,2024-09-17
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0022,0.0,0.54,-88,4595,21.78,24.2092,2024-11-22 07:40:37,2024-11-22,07:40:37,有效,0.10000000000001634,,,,,,,,,,267.0,2024-09-18
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0038,0.0,0.54,-88,4595,21.78,24.2081,2024-11-22 07:40:27,2024-11-22,07:40:27,有效,,,,,,,,,,,112.0,2024-09-19
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0038,0.0,0.54,-88,4595,21.78,24.2079,2024-11-22 07:40:25,2024-11-22,07:40:25,无效时间,,,,,,,,,,,90.0,2024-09-20
860329065551923,3.623,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-89,4594,22.92,24.2047,2024-11-22 06:58:57,2024-11-22,06:58:57,无效时间,,,,,,,,,,,64.0,2024-09-21
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0045,0.0,0.54,-90,4593,23.36,24.2035,2024-11-22 06:27:46,2024-11-22,06:27:46,有效,0.16666666666677385,,,,,,,,,,122.0,2024-09-22
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0079,0.0,0.54,-90,4593,23.36,24.2022,2024-11-22 06:27:40,2024-11-22,06:27:40,有效,0.16666666666664062,,,,,,,,,,122.0,2024-09-23
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0078,0.0,0.54,-90,4593,23.36,24.2009,2024-11-22 06:27:34,2024-11-22,06:27:34,有效,0.16666666666664062,,,,,,,,,,50.0,2024-09-24
860329065551923,3.62,70666000038000,21.28,860329065551923,0.008,0.0,0.54,-90,4593,23.36,24.1996,2024-11-22 06:27:28,2024-11-22,06:27:28,有效,0.16666666666664062,,,,,,,,,,178.0,2024-09-25
860329065551923,3.62,70666000038000,21.28,860329065551923,0.0077,0.0,0.54,-90,4593,23.36,24.1983,2024-11-22 06:27:22,2024-11-22,06:27:22,无效时间,,,,,,,,,,,96.0,2024-09-26
860329065551923,3.619,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-88,4592,24.2,24.1948,2024-11-22 03:06:48,2024-11-22,03:06:48,无效时间,,,,,,,,,,,205.0,2024-09-27
860329065551923,3.621,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-92,4591,22.55,24.1947,2024-11-21 23:38:36,2024-11-21,23:38:36,无效时间,,,,,,,,,,,87.0,2024-09-28
860329065551923,3.623,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-86,4590,20.62,24.1885,2024-11-21 21:30:27,2024-11-21,21:30:27,无效时间,,,,,,,,,,,127.0,2024-09-29
860329065551923,3.626,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-98,4589,20.53,24.1875,2024-11-21 21:23:13,2024-11-21,21:23:13,无效时间,,,,,,9.0,,,,,109.0,2024-09-30
860329065551923,3.623,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-87,4588,20.58,24.1865,2024-11-21 21:14:13,2024-11-21,21:14:13,无效时间,,,,,,,,,,,26.0,2024-10-01
860329065551923,3.625,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-99,4587,20.7,24.1855,2024-11-21 21:05:01,2024-11-21,21:05:01,无效时间,,,,,,,,,,,7.0,2024-10-02
860329065551923,3.628,70666000038000,21.28,860329065551923,0.0,0.0,0.54,-87,4586,20.64,24.1845,2024-11-21 20:56:32,2024-11-21,20:56:32,有效,0.006369426751592269,,,,,,,,,,39.0,2024-10-03
